data_ref,id_cliente,sexo,posse_de_veiculo,posse_de_imovel,qtd_filhos,tipo_renda,educacao,estado_civil,tipo_residencia,idade,tempo_emprego,qt_pessoas_residencia,renda,mau
2015-01-01,20,M,False,True,2,Assalariado,Secundário,Solteiro,Casa,31,11.01095890410959,3.0,1311.71,0
2015-01-01,21,M,True,True,0,Assalariado,Secundário,Casado,Casa,33,4.008219178082192,2.0,3984.21,0
2015-01-01,22,F,False,True,0,Assalariado,Secundário,Casado,Casa,54,0.7835616438356164,2.0,771.21,0
2015-01-01,23,F,False,False,1,Assalariado,Secundário,Casado,Casa,41,0.3232876712328767,3.0,389.77,0
2015-01-01,24,M,True,False,0,Empresário,Secundário,Casado,Casa,44,7.052054794520547,2.0,5726.63,0
2015-01-01,25,M,True,False,1,Empresário,Superior completo,Casado,Com os pais,32,1.9616438356164383,3.0,2103.7,0
2015-01-01,26,F,False,True,0,Empresário,Secundário,Casado,Casa,47,26.189041095890413,2.0,6803.41,0
2015-01-01,27,M,True,False,0,Empresário,Superior completo,Casado,Casa,35,3.813698630136986,2.0,2030.69,0
2015-01-01,28,M,False,True,0,Pensionista,Secundário,Viúvo,Casa,59,,1.0,11625.23,0
2015-01-01,29,M,False,True,0,Assalariado,Secundário,Casado,Com os pais,42,21.435616438356163,2.0,16098.28,0
2015-01-01,30,F,True,True,0,Assalariado,Superior completo,União,Casa,54,12.131506849315068,2.0,1844.18,0
2015-01-01,31,F,False,True,1,Assalariado,Secundário,Casado,Casa,45,7.457534246575342,3.0,1810.15,0
2015-01-01,32,F,False,False,2,Servidor público,Superior completo,Casado,Casa,30,7.693150684931508,4.0,6078.92,0
2015-01-01,33,M,True,False,0,Assalariado,Secundário,Solteiro,Casa,46,25.304109589041094,1.0,22769.54,0
2015-01-01,34,F,False,True,0,Assalariado,Superior completo,Separado,Casa,54,34.57808219178082,1.0,16504.52,0
2015-01-01,35,F,False,True,0,Assalariado,Secundário,Casado,Casa,49,1.7945205479452055,2.0,2359.1,0
2015-01-01,36,M,False,True,0,Empresário,Superior completo,Casado,Casa,31,1.1232876712328768,2.0,1578.72,0
2015-01-01,37,M,True,True,0,Assalariado,Superior completo,Casado,Casa,54,5.852054794520547,2.0,5571.41,0
2015-01-01,38,M,False,True,1,Assalariado,Superior completo,Casado,Casa,28,2.9616438356164383,3.0,2947.97,0
2015-01-01,39,F,False,False,0,Pensionista,Secundário,Solteiro,Casa,60,,1.0,1209.87,0
2015-01-01,40,F,False,True,0,Pensionista,Secundário,Viúvo,Casa,60,,1.0,1555.86,0
2015-01-01,41,M,False,True,0,Servidor público,Superior completo,Casado,Casa,26,6.1589041095890416,2.0,3181.9,0
2015-01-01,42,F,True,False,2,Assalariado,Superior completo,Casado,Casa,26,4.205479452054795,4.0,2708.92,0
2015-01-01,43,F,False,True,0,Assalariado,Secundário,Casado,Casa,50,2.010958904109589,2.0,1101.58,0
2015-01-01,44,F,False,True,0,Assalariado,Secundário,Viúvo,Casa,49,9.019178082191779,1.0,1343.52,0
2015-01-01,45,F,True,True,2,Assalariado,Superior completo,Casado,Casa,37,3.2191780821917813,4.0,1077.73,0
2015-01-01,46,F,False,True,0,Empresário,Superior completo,Casado,Casa,40,9.41095890410959,2.0,1760.23,0
2015-01-01,47,F,False,False,2,Assalariado,Secundário,Casado,Casa,36,7.4520547945205475,4.0,3145.51,0
2015-01-01,48,F,True,True,0,Servidor público,Superior completo,Casado,Casa,40,10.136986301369864,2.0,1426.85,0
2015-01-01,49,F,False,True,0,Pensionista,Secundário,Casado,Casa,63,,2.0,1161.6,0
2015-01-01,50,M,True,True,2,Empresário,Superior completo,Casado,Casa,27,2.7397260273972597,4.0,544.58,0
2015-01-01,51,F,False,True,0,Pensionista,Secundário,Viúvo,Casa,67,,1.0,1763.81,0
2015-01-01,52,F,False,False,0,Assalariado,Secundário,União,Casa,31,9.131506849315068,2.0,2170.62,0
2015-01-01,53,F,False,True,1,Assalariado,Secundário,Casado,Casa,36,7.016438356164382,3.0,1420.91,0
2015-01-01,54,F,True,True,0,Assalariado,Superior completo,Casado,Casa,56,17.68767123287671,2.0,2576.88,0
2015-01-01,55,M,True,False,1,Servidor público,Secundário,Casado,Casa,40,2.7150684931506848,3.0,1112.78,0
2015-01-01,56,F,False,False,0,Empresário,Secundário,União,Casa,44,1.4328767123287671,2.0,391.09,1
2015-01-01,57,F,False,True,0,Assalariado,Superior completo,Casado,Casa,50,5.786301369863014,2.0,1312.13,0
2015-01-01,58,F,False,False,0,Servidor público,Superior completo,Casado,Casa,37,7.920547945205478,2.0,351.37,0
2015-01-01,59,F,False,False,1,Servidor público,Superior completo,Casado,Casa,25,2.8,3.0,340.53,0
2015-01-01,60,F,False,True,1,Assalariado,Secundário,Casado,Casa,29,10.597260273972603,3.0,2541.58,0
2015-01-01,61,F,False,True,1,Empresário,Superior completo,Casado,Casa,40,0.6356164383561644,3.0,942.23,0
2015-01-01,62,F,True,True,1,Empresário,Superior completo,União,Casa,30,0.3671232876712329,3.0,1750.12,0
2015-01-01,63,M,True,True,0,Assalariado,Secundário,Casado,Casa,43,6.616438356164384,2.0,5120.42,0
2015-01-01,64,F,False,False,0,Servidor público,Secundário,Casado,Casa,54,8.605479452054794,2.0,3160.47,0
2015-01-01,65,F,True,True,0,Pensionista,Superior completo,Casado,Casa,48,1.6986301369863013,2.0,921.62,0
2015-01-01,66,M,True,True,1,Assalariado,Secundário,Casado,Casa,29,3.9342465753424656,3.0,5490.59,0
2015-01-01,67,F,True,True,0,Assalariado,Secundário,Casado,Casa,46,2.068493150684932,2.0,2714.01,0
2015-01-01,68,F,True,True,1,Assalariado,Superior completo,Casado,Casa,33,1.9753424657534249,3.0,589.4,0
2015-01-01,69,F,False,False,0,Empresário,Secundário,União,Casa,41,3.7178082191780817,2.0,1009.73,0
2015-01-01,70,F,False,True,1,Assalariado,Secundário,Casado,Casa,46,2.6191780821917807,3.0,983.01,1
2015-01-01,71,F,False,True,0,Empresário,Secundário,Casado,Casa,43,3.8054794520547945,2.0,1972.23,0
2015-01-01,72,F,False,True,0,Pensionista,Secundário,Viúvo,Casa,64,,1.0,633.98,0
2015-01-01,73,F,True,False,0,Assalariado,Secundário,Casado,Casa,53,11.134246575342466,2.0,1279.69,0
2015-01-01,74,F,False,True,3,Empresário,Secundário,Casado,Casa,33,1.8410958904109591,5.0,454.52,0
2015-01-01,75,F,False,True,0,Pensionista,Secundário,Casado,Casa,67,,2.0,1332.64,0
2015-01-01,76,F,False,True,0,Assalariado,Secundário,União,Casa,32,13.865753424657536,2.0,958.42,1
2015-01-01,77,F,False,True,0,Pensionista,Secundário,Viúvo,Casa,63,,1.0,430.44,0
2015-01-01,78,M,True,True,0,Assalariado,Secundário,Casado,Casa,40,22.19178082191781,2.0,12186.54,0
2015-01-01,79,M,True,False,0,Pensionista,Superior completo,Casado,Casa,46,,2.0,1408.51,0
2015-01-01,80,M,False,True,1,Assalariado,Primário,Casado,Casa,28,4.635616438356164,3.0,3427.24,0
2015-01-01,81,M,True,True,0,Assalariado,Secundário,Casado,Casa,58,14.936986301369865,2.0,13927.47,0
2015-01-01,82,M,True,True,2,Empresário,Superior incompleto,Casado,Casa,43,10.093150684931508,4.0,7411.21,0
2015-01-01,83,M,False,False,1,Assalariado,Secundário,Solteiro,Casa,46,18.035616438356165,2.0,7397.46,0
2015-01-01,84,F,False,True,0,Servidor público,Primário,Viúvo,Casa,51,7.104109589041097,1.0,1216.32,0
2015-01-01,85,F,True,False,0,Empresário,Secundário,União,Com os pais,44,2.8493150684931505,2.0,4709.19,0
2015-01-01,86,F,False,False,0,Assalariado,Secundário,Casado,Governamental,36,3.5095890410958903,2.0,1370.42,0
2015-01-01,87,F,False,True,0,Servidor público,Secundário,União,Casa,63,23.863013698630137,2.0,3812.03,0
2015-01-01,88,F,False,True,1,Empresário,Secundário,Solteiro,Casa,39,20.126027397260273,2.0,1076.15,0
2015-01-01,89,F,False,False,0,Empresário,Secundário,Casado,Governamental,37,17.487671232876714,2.0,1310.58,0
2015-01-01,90,M,True,False,0,Pensionista,Superior completo,Separado,Casa,66,,1.0,5111.24,0
2015-01-01,91,F,False,True,0,Assalariado,Secundário,Casado,Casa,33,5.052054794520548,2.0,985.32,0
2015-01-01,92,F,True,True,0,Pensionista,Secundário,Viúvo,Casa,62,,1.0,621.85,0
2015-01-01,93,M,False,True,1,Assalariado,Secundário,Casado,Casa,45,8.980821917808221,3.0,6599.34,0
2015-01-01,94,M,True,False,1,Assalariado,Superior completo,Casado,Casa,30,0.6,3.0,812.98,0
2015-01-01,95,M,True,True,0,Assalariado,Superior completo,Solteiro,Casa,48,8.265753424657534,2.0,13213.27,0
2015-01-01,96,F,False,True,0,Servidor público,Superior completo,Casado,Casa,43,18.224657534246575,2.0,2443.45,0
2015-01-01,97,M,False,True,0,Assalariado,Secundário,Casado,Casa,37,19.528767123287672,2.0,7760.69,0
2015-01-01,98,M,True,False,0,Empresário,Secundário,Casado,Casa,52,10.772602739726029,2.0,9019.27,0
2015-01-01,99,F,True,True,0,Empresário,Superior completo,Casado,Com os pais,34,14.095890410958905,2.0,5112.56,0
2015-01-01,100,F,True,True,1,Empresário,Secundário,Solteiro,Casa,31,3.9342465753424656,2.0,2522.64,0
2015-01-01,101,M,False,True,0,Assalariado,Secundário,Solteiro,Casa,45,3.5397260273972604,1.0,1137.74,0
2015-01-01,102,F,True,True,1,Assalariado,Secundário,União,Casa,43,6.347945205479452,3.0,1084.84,0
2015-01-01,103,M,True,True,0,Empresário,Secundário,Casado,Casa,58,4.646575342465753,2.0,4633.82,0
2015-01-01,104,F,False,True,1,Assalariado,Secundário,Casado,Casa,44,11.895890410958906,3.0,2706.75,0
2015-01-01,105,F,False,True,0,Servidor público,Superior completo,Casado,Casa,60,20.882191780821923,2.0,3441.74,0
2015-01-01,106,F,False,True,0,Servidor público,Secundário,Viúvo,Casa,48,11.96986301369863,1.0,3902.96,0
2015-01-01,107,F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,54,7.958904109589041,1.0,901.57,0
2015-01-01,108,F,True,True,0,Pensionista,Secundário,Casado,Casa,62,,2.0,1729.5,0
2015-01-01,109,F,True,True,0,Assalariado,Superior completo,Casado,Comunitário,46,6.679452054794519,2.0,4455.42,0
2015-01-01,110,M,True,False,2,Assalariado,Secundário,Casado,Casa,43,4.520547945205481,4.0,2942.95,0
2015-01-01,111,F,True,True,0,Pensionista,Secundário,União,Casa,67,,2.0,1146.03,0
2015-01-01,112,F,False,True,0,Pensionista,Secundário,Casado,Casa,52,,2.0,790.86,0
2015-01-01,113,M,True,False,2,Assalariado,Secundário,Casado,Casa,26,7.293150684931509,4.0,17625.02,0
2015-01-01,114,M,True,True,1,Empresário,Secundário,Casado,Casa,41,5.923287671232878,3.0,3790.23,0
2015-01-01,115,M,False,False,2,Assalariado,Secundário,Casado,Casa,39,6.895890410958903,4.0,5458.99,0
2015-01-01,116,M,True,False,1,Assalariado,Superior completo,Casado,Casa,26,1.3753424657534246,3.0,2099.57,0
2015-01-01,117,F,False,True,1,Empresário,Superior completo,Casado,Casa,43,4.0191780821917815,3.0,2488.17,0
2015-01-01,118,F,False,True,0,Empresário,Secundário,Solteiro,Casa,60,2.5479452054794516,1.0,3360.89,0
2015-01-01,119,F,True,True,0,Empresário,Secundário,Casado,Casa,49,6.890410958904107,2.0,1588.97,0
2015-01-01,120,M,True,True,2,Assalariado,Secundário,União,Casa,35,13.186301369863012,4.0,7932.05,0
2015-01-01,121,F,False,True,0,Assalariado,Secundário,Casado,Casa,54,29.534246575342465,2.0,9168.69,0
2015-01-01,122,M,True,True,1,Assalariado,Secundário,Casado,Casa,36,3.8383561643835615,3.0,2650.83,0
2015-01-01,123,F,False,True,0,Empresário,Secundário,Casado,Casa,46,2.5424657534246577,2.0,1651.43,0
2015-01-01,124,F,True,True,1,Assalariado,Superior completo,Casado,Casa,29,3.816438356164384,3.0,700.71,0
2015-01-01,125,F,False,False,0,Assalariado,Secundário,Casado,Governamental,42,12.221917808219178,2.0,2017.06,0
2015-01-01,126,F,False,True,0,Assalariado,Secundário,Viúvo,Casa,55,1.4383561643835616,1.0,727.6,0
2015-01-01,127,F,False,True,0,Pensionista,Secundário,Separado,Casa,59,,1.0,1236.61,0
2015-01-01,128,F,True,True,0,Pensionista,Secundário,Casado,Casa,63,,2.0,2066.24,0
2015-01-01,129,F,True,False,0,Assalariado,Secundário,Casado,Casa,38,20.175342465753427,2.0,3508.36,0
2015-01-01,130,F,True,True,0,Pensionista,Superior completo,Viúvo,Casa,58,,1.0,995.02,0
2015-01-01,131,F,False,True,0,Pensionista,Secundário,Viúvo,Casa,66,,1.0,648.0,0
2015-01-01,132,F,True,True,0,Pensionista,Secundário,Viúvo,Casa,60,,1.0,2053.37,0
2015-01-01,133,F,False,True,0,Assalariado,Secundário,União,Casa,43,9.931506849315069,2.0,9616.0,0
2015-01-01,134,F,False,True,2,Servidor público,Secundário,Casado,Casa,33,5.608219178082192,4.0,1976.53,0
2015-01-01,135,F,False,False,0,Empresário,Superior completo,Separado,Com os pais,43,1.1835616438356165,1.0,1358.58,0
2015-01-01,136,F,True,True,0,Pensionista,Secundário,Viúvo,Casa,61,,1.0,4228.13,0
2015-01-01,137,F,True,False,0,Servidor público,Superior completo,Solteiro,Casa,54,2.684931506849315,1.0,1399.29,0
2015-01-01,138,F,True,False,0,Pensionista,Primário,Casado,Casa,64,,2.0,1602.11,0
2015-01-01,139,M,True,False,0,Pensionista,Secundário,Casado,Casa,60,,2.0,7020.84,0
2015-01-01,140,F,False,True,0,Assalariado,Secundário,Solteiro,Casa,46,7.934246575342466,1.0,1552.98,0
2015-01-01,141,F,False,True,1,Assalariado,Secundário,Casado,Casa,43,7.386301369863013,3.0,596.76,0
2015-01-01,142,F,False,False,0,Empresário,Secundário,União,Governamental,33,9.852054794520548,2.0,1099.94,1
2015-01-01,143,F,False,True,2,Assalariado,Superior completo,Casado,Casa,31,1.2794520547945205,4.0,1284.77,0
2015-01-01,144,F,True,True,0,Assalariado,Superior completo,Casado,Casa,58,1.5808219178082192,2.0,1065.84,0
2015-01-01,145,F,False,True,0,Empresário,Secundário,Solteiro,Casa,60,2.5479452054794516,1.0,3360.89,0
2015-01-01,146,M,False,False,0,Assalariado,Secundário,Casado,Casa,40,9.638356164383561,2.0,3548.16,0
2015-01-01,147,F,False,True,1,Assalariado,Secundário,Casado,Casa,45,0.3616438356164384,3.0,2216.08,0
2015-01-01,148,F,True,True,1,Empresário,Superior completo,União,Casa,30,0.3671232876712329,3.0,1750.12,0
2015-01-01,149,M,False,True,0,Pensionista,Secundário,Casado,Casa,63,,2.0,2555.7,0
2015-01-01,150,F,False,True,0,Assalariado,Secundário,Casado,Casa,48,18.857534246575337,2.0,13534.89,0
2015-01-01,151,F,False,True,0,Assalariado,Superior incompleto,Solteiro,Casa,30,1.484931506849315,1.0,1961.28,0
2015-01-01,152,F,False,True,0,Pensionista,Secundário,Casado,Casa,62,,2.0,6752.72,0
2015-01-01,153,F,True,True,1,Empresário,Superior completo,Casado,Casa,47,1.2931506849315069,3.0,394.94,0
2015-01-01,154,F,False,True,0,Pensionista,Secundário,Solteiro,Casa,61,,1.0,2850.53,0
2015-01-01,155,M,False,True,0,Empresário,Superior completo,Solteiro,Casa,43,11.279452054794518,1.0,15499.51,0
2015-01-01,156,M,True,True,0,Empresário,Secundário,Casado,Casa,49,9.523287671232877,2.0,3355.0,0
2015-01-01,157,M,True,True,0,Assalariado,Secundário,Casado,Casa,39,11.920547945205481,2.0,12146.61,0
2015-01-01,158,M,False,True,0,Assalariado,Secundário,Casado,Casa,54,9.936986301369863,2.0,15292.7,0
2015-01-01,159,F,False,True,0,Assalariado,Secundário,Solteiro,Casa,51,2.2109589041095887,1.0,2256.55,0
2015-01-01,160,F,False,False,0,Assalariado,Secundário,Casado,Casa,46,15.087671232876714,2.0,1462.85,0
2015-01-01,161,F,False,True,3,Empresário,Secundário,Casado,Casa,45,1.1287671232876713,5.0,4793.74,0
2015-01-01,162,M,False,True,0,Empresário,Secundário,Solteiro,Com os pais,28,3.512328767123288,1.0,9532.72,0
2015-01-01,163,F,False,False,0,Assalariado,Secundário,Viúvo,Casa,43,1.3698630136986298,1.0,391.86,0
2015-01-01,164,F,True,False,0,Pensionista,Superior completo,Viúvo,Casa,66,,1.0,1145.65,0
2015-01-01,165,M,True,False,0,Assalariado,Secundário,Casado,Casa,33,0.5342465753424658,2.0,772.11,1
2015-01-01,166,F,False,True,0,Assalariado,Secundário,Solteiro,Com os pais,25,5.767123287671232,1.0,659.58,0
2015-01-01,167,M,True,True,0,Assalariado,Secundário,Casado,Casa,60,28.04383561643836,2.0,91793.54,0
2015-01-01,168,F,True,True,0,Assalariado,Superior completo,Separado,Casa,47,23.2027397260274,1.0,6794.34,0
2015-01-01,169,F,True,True,2,Assalariado,Secundário,Casado,Casa,41,18.846575342465755,4.0,7164.79,0
2015-01-01,170,M,True,True,0,Assalariado,Secundário,Casado,Casa,39,2.2136986301369856,2.0,1559.45,0
2015-01-01,171,F,False,True,0,Assalariado,Secundário,Casado,Casa,32,1.0109589041095892,2.0,2900.34,0
2015-01-01,172,F,False,False,0,Pensionista,Secundário,Solteiro,Governamental,58,,2.0,888.32,1
2015-01-01,173,M,True,True,0,Empresário,Secundário,Casado,Casa,59,4.383561643835616,2.0,1920.34,0
2015-01-01,174,F,False,False,0,Empresário,Secundário,União,Casa,46,19.164383561643838,2.0,4542.52,0
2015-01-01,175,F,False,True,2,Assalariado,Superior completo,Casado,Casa,29,2.7698630136986298,4.0,1611.87,0
2015-01-01,176,M,True,True,1,Assalariado,Secundário,Casado,Casa,44,2.5342465753424657,3.0,2256.4,0
2015-01-01,177,M,False,False,0,Empresário,Secundário,Casado,Casa,36,3.9342465753424656,2.0,6505.53,0
2015-01-01,178,M,True,True,0,Assalariado,Superior incompleto,Solteiro,Casa,29,4.663013698630137,1.0,4037.3,0
2015-01-01,179,F,False,True,1,Empresário,Secundário,União,Casa,30,2.9753424657534246,3.0,1546.71,0
2015-01-01,180,F,True,True,0,Assalariado,Secundário,Casado,Casa,46,19.9013698630137,2.0,5139.99,0
2015-01-01,181,M,True,True,1,Pensionista,Secundário,Casado,Casa,42,,3.0,2823.39,0
2015-01-01,182,F,False,False,0,Assalariado,Secundário,Viúvo,Casa,66,11.96986301369863,1.0,1659.64,0
2015-01-01,183,M,True,True,0,Assalariado,Secundário,Casado,Casa,53,8.89315068493151,2.0,6113.19,0
2015-01-01,184,F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,62,36.753424657534254,1.0,27836.54,0
2015-01-01,185,M,False,False,1,Assalariado,Secundário,Casado,Casa,27,7.553424657534246,3.0,4831.75,0
2015-01-01,186,M,True,True,0,Empresário,Superior completo,Casado,Casa,52,6.454794520547946,2.0,4191.65,0
2015-01-01,187,M,False,True,0,Empresário,Secundário,Solteiro,Casa,39,2.405479452054794,1.0,3655.55,0
2015-01-01,188,F,False,True,0,Pensionista,Secundário,Separado,Casa,68,,1.0,987.5,0
2015-01-01,189,M,True,True,3,Assalariado,Superior completo,Casado,Casa,41,1.5945205479452054,5.0,15667.14,0
2015-01-01,190,M,True,False,0,Empresário,Secundário,Casado,Casa,32,3.1890410958904107,2.0,1094.16,0
2015-01-01,191,F,True,True,1,Servidor público,Secundário,União,Casa,33,1.2547945205479452,3.0,1239.52,0
2015-01-01,192,F,False,True,0,Servidor público,Superior completo,Solteiro,Casa,34,8.958904109589039,1.0,977.52,0
2015-01-01,193,F,False,True,0,Servidor público,Primário,Viúvo,Casa,51,7.104109589041097,1.0,1242.29,0
2015-01-01,194,M,False,True,0,Assalariado,Superior completo,Solteiro,Casa,29,8.449315068493151,1.0,11597.58,0
2015-01-01,195,F,False,True,0,Empresário,Secundário,Solteiro,Casa,43,7.358904109589042,1.0,726.4,0
2015-01-01,196,F,False,True,0,Pensionista,Secundário,Casado,Casa,59,,2.0,1483.08,0
2015-01-01,197,F,True,True,1,Assalariado,Superior completo,Separado,Casa,37,11.224657534246576,2.0,3715.1,0
2015-01-01,198,M,True,True,0,Assalariado,Secundário,Casado,Casa,47,7.397260273972603,2.0,5512.67,0
2015-01-01,199,F,False,False,2,Assalariado,Secundário,Casado,Casa,45,22.928767123287674,4.0,2147.91,0
2015-01-01,200,M,True,True,0,Assalariado,Secundário,Solteiro,Casa,47,3.8904109589041096,1.0,1614.24,0
2015-01-01,201,F,False,True,0,Pensionista,Secundário,Casado,Casa,58,,2.0,1974.17,0
2015-01-01,202,F,False,True,0,Pensionista,Secundário,Casado,Casa,60,,2.0,3043.94,0
2015-01-01,203,F,True,True,0,Pensionista,Superior completo,Casado,Casa,55,,2.0,3842.08,0
2015-01-01,204,F,False,True,0,Pensionista,Primário,Casado,Casa,61,,2.0,1834.15,0
2015-01-01,205,M,True,False,0,Assalariado,Secundário,Casado,Casa,27,3.602739726027397,2.0,713.86,0
2015-01-01,206,F,False,True,0,Assalariado,Secundário,Solteiro,Casa,51,5.183561643835616,1.0,4605.73,0
2015-01-01,207,F,False,False,0,Pensionista,Secundário,Viúvo,Governamental,62,,1.0,1090.34,0
2015-01-01,208,F,False,True,0,Empresário,Secundário,Casado,Casa,45,2.8575342465753426,2.0,2218.9,0
2015-01-01,209,F,False,False,0,Assalariado,Superior completo,Casado,Casa,36,7.249315068493152,2.0,1349.07,0
2015-01-01,210,F,False,True,0,Empresário,Secundário,Solteiro,Casa,50,1.7205479452054795,1.0,6328.89,0
2015-01-01,211,M,True,True,0,Assalariado,Secundário,Casado,Casa,47,4.4301369863013695,2.0,2033.8,0
2015-01-01,212,M,False,False,0,Assalariado,Secundário,Casado,Casa,47,3.1835616438356165,2.0,1137.59,0
2015-01-01,213,M,False,True,1,Assalariado,Secundário,Casado,Casa,50,14.123287671232875,3.0,2080.55,0
2015-01-01,214,M,False,False,1,Empresário,Secundário,Casado,Casa,31,3.684931506849315,3.0,4236.27,0
2015-01-01,215,M,False,True,1,Assalariado,Superior incompleto,Casado,Casa,37,15.449315068493151,3.0,2623.93,0
2015-01-01,216,M,True,True,1,Assalariado,Secundário,Casado,Casa,38,6.068493150684931,3.0,1146.8,0
2015-01-01,217,F,True,True,0,Empresário,Superior completo,Viúvo,Casa,52,15.736986301369862,1.0,4018.74,0
2015-01-01,218,F,False,True,0,Servidor público,Secundário,Viúvo,Casa,54,16.06849315068493,1.0,965.13,0
2015-01-01,219,M,True,False,2,Assalariado,Secundário,Casado,Com os pais,27,0.6821917808219178,4.0,1010.59,1
2015-01-01,220,M,False,True,1,Assalariado,Secundário,Casado,Casa,32,0.6356164383561644,3.0,2325.42,0
2015-01-01,221,F,False,True,1,Empresário,Secundário,Casado,Casa,46,7.805479452054794,3.0,2386.27,0
2015-01-01,222,F,False,True,1,Assalariado,Secundário,Casado,Casa,33,2.1342465753424658,3.0,128.58,0
2015-01-01,223,F,False,True,0,Assalariado,Superior completo,Solteiro,Casa,36,13.54246575342466,1.0,1553.95,0
2015-01-01,224,M,True,False,0,Assalariado,Secundário,Casado,Casa,63,4.432876712328767,2.0,3619.83,0
2015-01-01,225,M,True,True,0,Assalariado,Secundário,Casado,Casa,50,1.4273972602739726,2.0,5188.04,0
2015-01-01,226,F,False,True,0,Assalariado,Secundário,Viúvo,Casa,47,0.38904109589041097,1.0,498.16,0
2015-01-01,227,F,True,True,0,Servidor público,Superior completo,Separado,Casa,52,5.219178082191782,1.0,2851.78,0
2015-01-01,228,M,True,False,0,Pensionista,Secundário,Casado,Casa,62,,2.0,7150.59,0
2015-01-01,229,F,False,False,1,Assalariado,Secundário,Casado,Casa,27,2.0136986301369864,3.0,1949.96,0
2015-01-01,230,F,False,True,1,Empresário,Secundário,União,Casa,28,2.0739726027397256,3.0,1381.2,0
2015-01-01,231,F,True,False,0,Assalariado,Superior completo,Casado,Casa,32,5.846575342465752,2.0,649.69,0
2015-01-01,232,F,False,True,0,Assalariado,Secundário,Viúvo,Casa,39,1.7150684931506852,1.0,1349.1,1
2015-01-01,233,F,False,True,0,Assalariado,Secundário,Casado,Casa,43,5.994520547945205,2.0,945.64,0
2015-01-01,234,M,False,False,1,Servidor público,Secundário,Casado,Casa,42,21.46575342465753,3.0,15140.71,0
2015-01-01,235,F,False,True,1,Empresário,Superior completo,Casado,Casa,43,4.0191780821917815,3.0,2427.63,0
2015-01-01,236,M,True,True,0,Assalariado,Secundário,Casado,Casa,39,11.920547945205481,2.0,1334.22,0
2015-01-01,237,F,False,True,2,Assalariado,Superior completo,Casado,Casa,33,1.2547945205479452,4.0,1010.49,0
2015-01-01,238,F,False,True,0,Assalariado,Secundário,Casado,Casa,55,8.471232876712326,2.0,2435.1,0
2015-01-01,239,F,False,True,0,Empresário,Superior completo,Solteiro,Casa,49,4.391780821917808,1.0,1368.19,1
2015-01-01,240,M,True,True,0,Assalariado,Superior completo,Solteiro,Casa,27,1.0602739726027397,1.0,3758.5,0
2015-01-01,241,F,False,False,0,Empresário,Superior completo,União,Casa,25,0.9287671232876712,2.0,842.94,0
2015-01-01,242,F,False,True,2,Servidor público,Secundário,Casado,Comunitário,38,4.868493150684932,4.0,1223.17,0
2015-01-01,243,F,False,False,0,Pensionista,Secundário,Viúvo,Governamental,60,,1.0,1008.21,0
2015-01-01,244,F,False,True,0,Pensionista,Secundário,Casado,Casa,58,,2.0,1239.77,0
